Agency_Name,Emission_Year,Facility_Name,Source_Name,Activity_Type,Fuel_Type,Fuel,End_Use_Sector,Technology,Fuel_Quantity,Fuel_Quantity_Units,Mobile_Fuel_Quantity,Mobile_Fuel_Quantity_Units,CO2e_Metric_Tons
California African American Museum,2012,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",117.593,gal,1461,mi,1.03247
California African American Museum,2013,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,740760,kWh,0,,221.31877
California African American Museum,2013,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,5401,therm,0,,28.6361
California African American Museum,2013,Vehicle Fleet,Honda,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2005),281.35,gal,4471,mi,2.47025
California African American Museum,2013,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",96.3282,gal,805,mi,0.84576
California African American Museum,2014,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,881880,kWh,0,,244.336866
California African American Museum,2014,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,4082,therm,0,,21.659092
California African American Museum,2014,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",129,gal,1422,mi,1.13262
California African American Museum,2015,Building,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,771477,kWh,0,,227.5672034
California African American Museum,2015,Building,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,771477,kWh,0,,227.5672034
California African American Museum,2015,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,1222.91,therm,0,,6.48876046
California African American Museum,2015,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",108.3112,gal,1126,mi,0.950972336
California African American Museum,2016,Building,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,703080,kWh,0,,181.3334216
California African American Museum,2016,Building,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,703080,kWh,0,,181.3334216
California African American Museum,2016,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,308700000,Btu,0,,16.379622
California African American Museum,2016,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",24.84,gal,472,mi,0.2180952
California Coastal Commission,2010,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,6539.4,kWh,0,,1.95379
California Coastal Commission,2010,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,61908,kWh,0,,18.49641
California Coastal Commission,2010,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,485022.8,kWh,0,,144.91151
California Coastal Commission,2010,Headquarters Storage Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,28077.9,kWh,0,,8.38891
California Coastal Commission,2010,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,10881.7,kWh,0,,3.25115
California Coastal Commission,2010,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,39963,kWh,0,,11.93985
California Coastal Commission,2010,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,122812.7,kWh,0,,36.69307
California Coastal Commission,2010,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,108498,kWh,0,,32.41623
California Coastal Commission,2010,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,526,therm,0,,2.62937
California Coastal Commission,2011,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,6539.4,kWh,0,,1.95379
California Coastal Commission,2011,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,58972,kWh,0,,17.61922
California Coastal Commission,2011,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,485022.8,kWh,0,,144.91151
California Coastal Commission,2011,Headquarters Storage Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,28077.9,kWh,0,,8.38891
California Coastal Commission,2011,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,10881.7,kWh,0,,3.25115
California Coastal Commission,2011,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,39963,kWh,0,,11.93985
California Coastal Commission,2011,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,122812.7,kWh,0,,36.69307
California Coastal Commission,2011,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,108537,kWh,0,,32.42788
California Coastal Commission,2011,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,496,therm,0,,2.47941
California Coastal Commission,2012,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,6539.4,kWh,0,,1.95379
California Coastal Commission,2012,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,56801,kWh,0,,16.97058
California Coastal Commission,2012,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,485022.8,kWh,0,,144.91151
California Coastal Commission,2012,Headquarters Storage Area,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,7019.475,kWh,0,,2.09723
California Coastal Commission,2012,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,10881.7,kWh,0,,3.25115
California Coastal Commission,2012,North Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,6588.4,kWh,0,,1.96843
California Coastal Commission,2012,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,39963,kWh,0,,11.93985
California Coastal Commission,2012,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,122812.7,kWh,0,,36.69307
California Coastal Commission,2012,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,118094.3131,kWh,0,,35.28334
California Coastal Commission,2012,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,305.16468,therm,0,,1.52546
California Coastal Commission,2013,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,6539.4,kWh,0,,1.95379
California Coastal Commission,2013,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,58.94,MWh,0,,17.60966
California Coastal Commission,2013,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,485022.8,kWh,0,,144.91151
California Coastal Commission,2013,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,10881.7,kWh,0,,3.25115
California Coastal Commission,2013,North Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,16044.97295,kWh,0,,4.7938
California Coastal Commission,2013,North Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,187.28537,therm,0,,0.93978
California Coastal Commission,2013,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,4995.4,kWh,0,,1.49249
California Coastal Commission,2013,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,95555.348,kWh,0,,28.54932
California Coastal Commission,2013,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,127117.3798,kWh,0,,37.97919
California Coastal Commission,2013,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,370.816319,therm,0,,1.8536
California Coastal Commission,2014,Central Coast Basement Storage Unit,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,6539.4,kWh,0,,1.953793394
California Coastal Commission,2014,Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,54036.794,kWh,0,,16.14471223
California Coastal Commission,2014,Fleet - Ford Taurus 2000 - Long Beach,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),221.71,gal,0,Btu,1.9466138
California Coastal Commission,2014,Fleet - Ford Taurus 2001 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),404.45,gal,0,Btu,3.551071
California Coastal Commission,2014,Fleet - Honda Accord 2002 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),360.62,gal,0,Btu,3.1662436
California Coastal Commission,2014,Fleet - Jeep Cherokee 2000 - Eureka/Arcata,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),321.01,gal,0,Btu,2.8184678
California Coastal Commission,2014,Fleet - Jeep Cherokee 2001 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),395.99,gal,0,Btu,3.4767922
California Coastal Commission,2014,Headquarters Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,485022.8,kWh,0,,144.9115121
California Coastal Commission,2014,Legislative Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,5871.305619,kWh,0,,1.754185114
California Coastal Commission,2014,Legislative Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,NULL,NULL,0,,0.184161
California Coastal Commission,2014,North Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,15293.505,kWh,0,,4.569279909
California Coastal Commission,2014,North Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,NULL,NULL,0,,0.4429305
California Coastal Commission,2014,North Coast District Office (previous location),Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,NULL,kWh,0,,NULL
California Coastal Commission,2014,South Central Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,36142.23448,kWh,0,,10.79830856
California Coastal Commission,2014,South Central Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,NULL,NULL,0,,1.001101
California Coastal Commission,2014,South Coast District Office,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,130922.1435,kWh,0,,39.11594628
California Coastal Commission,2014,South Coast District Office,Natural Gas,Scope 2 (Optional),N/A,N/A,All,Unspecified Technology,NULL,therm,0,,NULL
California Coastal Commission,2015,Central Coast Basement Storage Unit,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,6539.4,kWh,0,,1.928966087
California Coastal Commission,2015,Central Coast Basement Storage Unit,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,6539.4,kWh,0,,1.928966087
California Coastal Commission,2015,Central Coast District Office,Electricity  - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,55.881,MWh,0,,16.48355413
California Coastal Commission,2015,Central Coast District Office,Electricity  - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,55.881,MWh,0,,16.48355413
California Coastal Commission,2015,Fleet - Ford Taurus 2000 - Long Beach,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),264.28,gal,0,Btu,2.3203784
California Coastal Commission,2015,Fleet - Ford Taurus 2001 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),284.5,gal,0,Btu,2.49791
California Coastal Commission,2015,Fleet - Honda Accord 2002 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),408.36,gal,0,Btu,3.5854008
California Coastal Commission,2015,Fleet - Jeep Cherokee 2000 - Eureka/Arcata,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),421.3,gal,0,Btu,3.699014
California Coastal Commission,2015,Fleet - Jeep Cherokee 2001 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),152.9,gal,0,Btu,1.342462
California Coastal Commission,2015,Headquarters Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,485022.8,kWh,0,,143.0700878
California Coastal Commission,2015,Headquarters Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,485022.8,kWh,0,,143.0700878
California Coastal Commission,2015,Legislative Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,10881.7,kWh,0,,3.209840393
California Coastal Commission,2015,Legislative Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,10881.7,kWh,0,,3.209840393
California Coastal Commission,2015,North Coast District Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,14548.595,kWh,0,,4.291486431
California Coastal Commission,2015,North Coast District Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,14548.595,kWh,0,,4.291486431
California Coastal Commission,2015,North Coast District Office,Natural Gas - Location Based,Purchased Heating - Location Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,88.60722,therm,0,,0.626866546
California Coastal Commission,2015,North Coast District Office,Natural Gas - Market Based,Purchased Heating - Market Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,88.60722,therm,0,,0.626866546
California Coastal Commission,2015,South Central Coast District Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,30534.57324,kWh,0,,9.006966427
California Coastal Commission,2015,South Central Coast District Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,30534.57324,kWh,0,,9.006966427
California Coastal Commission,2015,South Central Coast District Office,Natural Gas - Location Based,Purchased Heating - Location Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,269.877,therm,0,,1.909289816
California Coastal Commission,2015,South Central Coast District Office,Natural Gas - Market Based,Purchased Heating - Market Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,269.877,therm,0,,1.909289816
California Coastal Commission,2015,South Coast District Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,134651.4609,kWh,0,,39.71894999
California Coastal Commission,2015,South Coast District Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2015,Unspecified Technology,134651.4609,kWh,0,,39.71894999
California Coastal Commission,2016,Central Coast Basement Storage Unit,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,6539.4,kWh,0,,1.686595803
California Coastal Commission,2016,Central Coast Basement Storage Unit,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Utility-Specific Rate,Pacific Gas & Electric,2015,System Average,6539.4,kWh,0,,1.199867866
California Coastal Commission,2016,Central Coast District Office,Electricity  - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,53.966,MWh,0,,13.91852909
California Coastal Commission,2016,Central Coast District Office,Electricity  - Market Based,Purchased Electricity - Market Based - Scope 2,Utility-Specific Rate,Pacific Gas & Electric,2015,System Average,53.966,MWh,0,,9.901836443
California Coastal Commission,2016,Fleet - Ford Taurus 2000 - Long Beach,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),238.19,gal,0,Btu,2.0913082
California Coastal Commission,2016,Fleet - Honda Accord 2002 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),441.37,gal,0,Btu,3.8752286
California Coastal Commission,2016,Fleet - Jeep Cherokee 2000 - Eureka/Arcata,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),441.71,gal,0,Btu,3.8782138
California Coastal Commission,2016,Fleet - Jeep Cherokee 2001 - San Francisco,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2000),212.32,gal,0,Btu,1.8641696
California Coastal Commission,2016,Fleet - Toyota Prius V 2016 - San Diego,Gasoline,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Low Emission Vehicles,300.62,gal,0,mi,2.6394436
California Coastal Commission,2016,Headquarters Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,430521.5123,kWh,0,,111.0370639
California Coastal Commission,2016,Headquarters Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Utility-Specific Rate,Pacific Gas & Electric,2015,System Average,43054.5123,kWh,0,,7.899765388
California Coastal Commission,2016,Headquarters Office,Natural Gas - Location Based,Purchased Heating - Location Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,8448.622717,MMBtu,0,,597.7118952
California Coastal Commission,2016,Headquarters Office,Natural Gas - Market Based,Purchased Heating - Market Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,8448.622717,MMBtu,0,,597.7118952
California Coastal Commission,2016,Legislative Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,5373.079969,kWh,0,,1.385786789
California Coastal Commission,2016,Legislative Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Utility-Specific Rate,Sacramento Municipal Utility District,2014,Retail Power,5373.079969,kWh,0,,1.367459113
California Coastal Commission,2016,Legislative Office,Natural Gas - Location Based,Purchased Heating - Location Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,34.45203701,MMBtu,0,,2.437366778
California Coastal Commission,2016,Legislative Office,Natural Gas - Market Based,Purchased Heating - Market Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,34.45203701,MMBtu,0,,2.437366778
California Coastal Commission,2016,North Coast District Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,0,kWh,0,,0
California Coastal Commission,2016,North Coast District Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,0,kWh,0,,0
California Coastal Commission,2016,North Coast District Office,Natural Gas - Location Based,Purchased Heating - Location Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,90.24187589,therm,0,,0.638431191
California Coastal Commission,2016,North Coast District Office,Natural Gas - Market Based,Purchased Heating - Market Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,90.24187509,therm,0,,0.638431186
California Coastal Commission,2016,South Central Coast District Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,41227.33591,kWh,0,,10.63306293
California Coastal Commission,2016,South Central Coast District Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,41227.33591,kWh,0,,10.63306293
California Coastal Commission,2016,South Central Coast District Office,Natural Gas - Location Based,Purchased Heating - Location Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,425.2783465,therm,0,,3.008702542
California Coastal Commission,2016,South Central Coast District Office,Natural Gas - Market Based,Purchased Heating - Market Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,425.2783465,therm,0,,3.008702542
California Coastal Commission,2016,South Coast District Office,Electricity - Location Based,Purchased Electricity - Location Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,129651.5401,kWh,0,,33.43880837
California Coastal Commission,2016,South Coast District Office,Electricity - Market Based,Purchased Electricity - Market Based - Scope 2,Regional Grid-Average,WECC California,2016,Unspecified Technology,129651.5401,kWh,0,,33.43880837
California Coastal Commission,2016,South Coast District Office,Natural Gas - Location Based,Purchased Heating - Location Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,125.9091703,MMBtu,0,,8.907654101
California Coastal Commission,2016,South Coast District Office,Natural Gas - Market Based,Purchased Heating - Market Based - Scope 2,Fuel-Specific Factor,Natural Gas,Pipeline (US weighted average),Commerical,125.9091703,MMBtu,0,,8.907654101
California Conservation Corps,2010,All Properties,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,2377035,kWh,0,,734.26598
California Conservation Corps,2010,All Properties,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,61455,therm,0,,325.83441
California Conservation Corps,2010,All Properties,Propane Gas,Stationary Combustion - Scope 1,Petroleum Products,LPG (average for fuel use),Commercial,Unspecified Technology,27724,gal,0,,160.52196
California Conservation Corps,2010,Fleet,CNG,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,11494,GGE,0,mi,78.62102892
California Conservation Corps,2010,Fleet,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Uncontrolled,25843,gal,0,mi,263.85703
California Conservation Corps,2010,Fleet,E-85,Mobile Biomass Combustion - Biomass,Biofuels,Ethanol,Light Duty Vehicles,Unspecified Technology,41,gal,0,mi,0.23575
California Conservation Corps,2010,Fleet,Unleaded Gas,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)",Uncontrolled,240625,gal,0,mi,2112.6875
California Conservation Corps,2011,All Properties,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,2209317,kWh,0,,682.4579
California Conservation Corps,2011,All Properties,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,"1,025 - 1,035 Btu / SCF",Commercial,Unspecified Technology,64404,therm,0,,341.21239
California Conservation Corps,2011,All Properties,Propane Gas,Stationary Combustion - Scope 1,Petroleum Products,LPG (average for fuel use),Commercial,Unspecified Technology,37169,gal,0,,215.20851
California Conservation Corps,2011,Fleet,CNG,Mobile Combustion - Scope 1,Alternative Fuels,Compressed Natural Gas (CNG),Light Duty Vehicles,Unspecified Technology,15632,GGE,0,mi,106.9256938
California Conservation Corps,2011,Fleet,Diesel,Mobile Combustion - Scope 1,Diesel Fuel,All,Diesel Medium and Heavy-Duty Trucks and Busses,Uncontrolled,24526,gal,0,mi,250.41046
California Conservation Corps,2011,Fleet,Unleaded Gas,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)",Uncontrolled,249777,gal,0,mi,2193.04206
California Conservation Corps,2012,All Properties,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,2475419,kWh,0,,739.5873152
California Conservation Corps,2012,All Properties,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,"1,025 - 1,035 Btu / SCF",Commercial,Unspecified Technology,64147,therm,0,,339.85081
California Conservation Corps,2012,All Properties,Propane Gas,Stationary Combustion - Scope 1,Petroleum Products,LPG (average for fuel use),Commercial,Unspecified Technology,30878,gal,0,,178.78362
